ticketNumber,Date,tripId,ticketStatus,tripName,tripAbbreviation,taxAbbreviation,startDate,tripCategoryId,GrossTicket,Commission,NetTicket,invoiceId,invoiceStatus,groupId,Sales Office Invoice,gender,dateOfBirth,countryOfOriginId,countryName
4203-E81,2019-04-05,4203,2,Niagara Falls - Saturday,NF,HST,2019-04-20,1,59,0,59,105932,2,NULL, Online,Female,1986-10-09,73,France
4203-SXF,2019-04-05,4203,2,Niagara Falls - Saturday,NF,HST,2019-04-20,1,59,0,59,105933,2,NULL, Online,Female,1997-09-07,73,France
4203-UEW,2019-04-05,4203,2,Niagara Falls - Saturday,NF,HST,2019-04-20,1,59,0,59,105934,2,NULL, Online,Male,2007-05-26,38,Canada
4217-2KH,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105935,2,NULL, Online,Male,1987-11-10,30,Brazil
4217-I9I,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105936,2,NULL, Online,Female,2000-06-30,30,Brazil
4217-J5F,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105945,2,NULL, Online,Male,2001-11-08,47,Colombia
4217-KH4,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105950,2,NULL, Online,Female,1969-12-31,47,Colombia
4217-WSZ,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105956,2,NULL, Online,Female,2001-04-09,47,Colombia
4217-637,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105957,2,NULL, Online,Female,1969-12-31,47,Colombia
4217-IB9,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105960,2,NULL, Online,Male,2001-04-08,47,Colombia
4217-8L4,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105961,2,NULL, Online,Male,2001-03-08,47,Colombia
4217-JQU,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105963,2,NULL, Online,Male,1999-02-10,47,Colombia
4217-D3D,2019-04-05,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105981,2,NULL, Online,Female,1993-07-21,138,Mexico
4199-3I9,2019-04-05,4199,2,Niagara Falls - Saturday,NF,HST,2019-04-06,1,59,0,59,105983,2,NULL, Online,Female,1995-10-27,47,Colombia
4260-4VH,2019-04-05,4260,2,The Toronto Marlies Hockey vs. Cleveland Monsters (4:00PM) Coca-Cola Stadium,MARLIES,HST,2019-04-14,4,24,0,24,105984,2,NULL, Online,Male,1992-06-16,107,Japan
4200-GRU,2019-04-05,4200,2,Niagara Falls - Sunday,NF,HST,2019-04-07,1,59,0,59,105985,2,NULL, Online,Female,1969-12-31,30,Brazil
4200-2GS,2019-04-05,4200,2,Niagara Falls - Sunday,NF,HST,2019-04-07,1,59,0,59,105986,2,NULL, Online,Male,1969-12-31,30,Brazil
4200-VAV,2019-04-07,4200,2,Niagara Falls - Sunday,NF,HST,2019-04-07,1,64,0,64,105991,2,NULL, Online,Male,1994-01-09,43,Chile
4217-QE6,2019-04-07,4217,2, Sunset Boat Cruise Party (NEW BUS DEPARTURE LOCATION),BC,HST,2019-04-26,3,25,0,25,105992,2,NULL, Online,Female,1997-06-30,107,Japan
